📺央视,#genre#央视
CCTV11戏曲,http://angtv.cc/test/ysp.php?id=cctv11
CCTV12社会与法,http://angtv.cc/test/ysp.php?id=cctv12
CCTV13新闻,http://angtv.cc/test/ysp.php?id=cctv13
CCTV14少儿,http://angtv.cc/test/ysp.php?id=cctv14
CCTV15音乐,http://angtv.cc/test/ysp.php?id=cctv15
CCTV16奥林匹克,http://angtv.cc/test/ysp.php?id=cctv16
CCTV17农业农村,http://angtv.cc/test/ysp.php?id=cctv17
CCTV5+体育赛事,http://angtv.cc/test/ysp.php?id=cctv5p
CCTV4k,http://angtv.cc/test/ysp.php?id=cctv4k
兵器科技,http://angtv.cc/test/ysp.php?id=bqkj
第一剧场,http://angtv.cc/test/ysp.php?id=dyjc
怀旧剧场,http://angtv.cc/test/ysp.php?id=hjjc
风云剧场,http://angtv.cc/test/ysp.php?id=fyjc
风云音乐,http://angtv.cc/test/ysp.php?id=fyyy
风云足球,http://angtv.cc/test/ysp.php?id=fyzq
电视指南,http://angtv.cc/test/ysp.php?id=dszn
女性时尚,http://angtv.cc/test/ysp.php?id=nxss
央视文化精品,http://angtv.cc/test/ysp.php?id=whjp
世界地理,http://angtv.cc/test/ysp.php?id=sjdl
高尔夫网球,http://angtv.cc/test/ysp.php?id=gefwq
央视台球,http://angtv.cc/test/ysp.php?id=ystq
卫生健康,http://angtv.cc/test/ysp.php?id=wsjk
CGTN,http://angtv.cc/test/ysp.php?id=cgtn
CGTN纪录,http://angtv.cc/test/ysp.php?id=cgtnjl
CGTN西班牙语,http://angtv.cc/test/ysp.php?id=cgtne
CGTN法语,http://angtv.cc/test/ysp.php?id=cgtnf
CGTN阿拉伯语,http://angtv.cc/test/ysp.php?id=cgtna
CGTN俄语,http://angtv.cc/test/ysp.php?id=cgtnr

CCTV1综合,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3综艺,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+体育赛事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6电影,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7国防军事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV9纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV13新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14少儿,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8

世界地理,https://live.metshop.top/msp.php?id=sjdl

//======================================================

📡卫视,#genre#卫视
湖南卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225707/1/index.m3u8?fmt=ts2hls
安徽卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls
北京卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225754/1/index.m3u8?fmt=ts2hls
重庆卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225686/1/index.m3u8?fmt=ts2hls
东方卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls
东南卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225755/1/index.m3u8?fmt=ts2hls
广东卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls
贵州卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225776/1/index.m3u8?fmt=ts2hls
河北卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls
河南卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls
湖北卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls
吉林卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225753/1/index.m3u8?fmt=ts2hls
江苏卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225751/1/index.m3u8?fmt=ts2hls
江西卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225710/1/index.m3u8?fmt=ts2hls
辽宁卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225717/1/index.m3u8?fmt=ts2hls
山东卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls
四川卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225757/1/index.m3u8?fmt=ts2hls
天津卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls
浙江卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225780/1/index.m3u8?fmt=ts2hls
云南卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225687/1/index.m3u8?fmt=ts2hls
广西卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225711/1/index.m3u8?fmt=ts2hls
海南卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls
内蒙古卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225718/1/index.m3u8?fmt=ts2hls
宁夏卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225719/1/index.m3u8?fmt=ts2hls
青海卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225760/1/index.m3u8?fmt=ts2hls
山西卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225730/1/index.m3u8?fmt=ts2hls
陕西卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225688/1/index.m3u8?fmt=ts2hls
新疆卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225759/1/index.m3u8?fmt=ts2hls
西藏卫视,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225668/1/index.m3u8?fmt=ts2hls

湖南卫视,http://angtv.cc/live/aikan.php?id=hunws
北京卫视,http://angtv.cc/live/aikan.php?id=bjws
东方卫视,http://angtv.cc/live/aikan.php?id=dfws2
甘肃卫视,http://angtv.cc/live/aikan.php?id=gsws
广东卫视,http://angtv.cc/live/aikan.php?id=gdws
海南卫视,http://angtv.cc/live/aikan.php?id=hinws
湖北卫视,http://angtv.cc/live/aikan.php?id=hubws
吉林卫视,http://angtv.cc/live/aikan.php?id=jlws
江苏卫视,http://angtv.cc/live/aikan.php?id=jsws
江西卫视,http://angtv.cc/live/aikan.php?id=jxws
辽宁卫视,http://angtv.cc/live/aikan.php?id=lnws
内蒙古卫视,http://angtv.cc/live/aikan.php?id=nmws
宁夏卫视,http://angtv.cc/live/aikan.php?id=nxws
青海卫视,http://angtv.cc/live/aikan.php?id=qhws
山东卫视,http://angtv.cc/live/aikan.php?id=sdws
陕西卫视,http://angtv.cc/live/aikan.php?id=sxws
四川卫视,http://angtv.cc/live/aikan.php?id=scws
西藏卫视,http://angtv.cc/live/aikan.php?id=xzws
新疆卫视,http://angtv.cc/live/aikan.php?id=xjws
重庆卫视,http://angtv.cc/live/aikan.php?id=cqws

北京卫视,http://angtv.cc/test/ysp.php?id=bjws
东方卫视,http://angtv.cc/test/ysp.php?id=dfws
天津卫视,http://angtv.cc/test/ysp.php?id=tjws
重庆卫视,http://angtv.cc/test/ysp.php?id=cqws
黑龙江卫视,http://angtv.cc/test/ysp.php?id=hljws
辽宁卫视,http://angtv.cc/test/ysp.php?id=lnws
河北卫视,http://angtv.cc/test/ysp.php?id=hbws
山东卫视,http://angtv.cc/test/ysp.php?id=sdws
